station_eu_code;id_regione;id_provincia;id_comune;station_code;Regione;Provincia;Comune;nome_stazione;tipo_zona;tipo_stazione;TIPO;Lon;Lat;yy;n;sup25;sup15;media_yy;minimo;perc5;perc25;perc50;perc75;perc95;perc99.2;massimo;copertura;superamenti_ma;superamenti_ma10;superamenti_ma5;range_y;mappa_y;superamenti_d;superamenti_d15;range_d;range_d15;mappa_d;mappa_d15
IT2307A;19.0;84.0;19084001.0;1908401.0;Sicilia;Agrigento;Agrigento;AG - Monserrato;SUBURBANA;FONDO;SF;13.551601;37.29924;2022;357;6;25;9.0;2.0;4.0;6.0;9.0;11.0;17.0;32.0;39.0;1;0.0;0.0;1.0;"(5;10]";2;0;1;"(3;18]";"(18; Inf]";2;3
IT2313A;19.0;84.0;19084020.0;1908402.0;Sicilia;Agrigento;Lampedusa e Linosa;Lampedusa;RURALE-REMOTA;FONDO;RF;12.597921;35.502802;2021;109;4;18;10.0;2.0;4.0;7.0;9.0;12.0;23.0;34.0;37.0;0;0.0;0.0;1.0;"(5;10]";0;0;1;"(3;18]";"(3;18]";0;0
IT2313A;19.0;84.0;19084020.0;1908402.0;Sicilia;Agrigento;Lampedusa e Linosa;Lampedusa;RURALE-REMOTA;FONDO;RF;12.597921;35.502802;2022;308;3;17;8.0;0.0;4.0;6.0;7.0;10.0;16.0;25.0;34.0;0;0.0;0.0;1.0;"(5;10]";0;0;1;"(-Inf;3]";"(3;18]";0;0
IT2274A;19.0;84.0;19084028.0;1908497.0;Sicilia;Agrigento;Porto Empedocle;Porto Empedocle;SUBURBANA;FONDO;SF;13.532537;37.291894;2016;132;14;58;15.0;0.0;0.0;10.0;14.0;20.0;29.0;40.0;60.0;0;0.0;1.0;1.0;"(10;15]";0;0;1;"(3;18]";"(18; Inf]";0;0
IT2274A;19.0;84.0;19084028.0;1908497.0;Sicilia;Agrigento;Porto Empedocle;Porto Empedocle;SUBURBANA;FONDO;SF;13.532537;37.291894;2017;318;30;146;15.0;0.0;5.0;10.0;14.0;20.0;29.0;37.0;53.0;1;0.0;1.0;1.0;"(10;15]";3;1;1;"(18; Inf]";"(18; Inf]";3;3
IT2274A;19.0;84.0;19084028.0;1908497.0;Sicilia;Agrigento;Porto Empedocle;Porto Empedocle;SUBURBANA;FONDO;SF;13.532537;37.291894;2018;316;36;155;16.0;0.0;6.0;10.0;15.0;21.0;28.0;42.0;62.0;1;0.0;1.0;1.0;"(15;20]";4;1;1;"(18; Inf]";"(18; Inf]";3;3
IT2275A;19.0;83.0;19083048.0;1908370.0;Sicilia;Messina;Messina;ME - Villa Dante;URBANA;FONDO;UF;15.546512;38.174341;2022;346;4;54;11.0;1.0;4.0;8.0;10.0;14.0;19.0;27.0;33.0;1;0.0;1.0;1.0;"(10;15]";3;0;1;"(3;18]";"(18; Inf]";2;3
IT2275A;19.0;83.0;19083048.0;1908370.0;Sicilia;Messina;Messina;ME - Villa Dante;URBANA;FONDO;UF;15.546512;38.174341;2021;347;15;66;11.0;2.0;5.0;7.0;10.0;14.0;24.0;33.0;41.0;1;0.0;1.0;1.0;"(10;15]";3;0;1;"(3;18]";"(18; Inf]";2;3
IT2275A;19.0;83.0;19083048.0;1908370.0;Sicilia;Messina;Messina;ME - Villa Dante;URBANA;FONDO;UF;15.546512;38.174341;2020;236;2;32;11.0;3.0;5.0;7.0;10.0;13.0;20.0;25.0;31.0;0;0.0;1.0;1.0;"(10;15]";0;0;1;"(-Inf;3]";"(18; Inf]";0;0
IT2297A;19.0;82.0;19082053.0;1908273.0;Sicilia;Palermo;Palermo;PA - UNIPA;URBANA;FONDO;UF;13.34653;38.105096;2022;357;5;93;13.0;3.0;6.0;9.0;12.0;16.0;20.0;32.0;44.0;1;0.0;1.0;1.0;"(10;15]";3;0;1;"(3;18]";"(18; Inf]";2;3
